emnekode,tittel,semester,nivå,studiepoeng,vurdering
BINF100,Grunnleggande bioinformatikk,Vår,Lågaregradsemne,10.0,Skriftleg skuleeksamen 
BINF200,Analyse av biologiske sekvensar og strukturar,Haust,Lågaregradsemne,10.0,Mappevurdering 
BINF201,Innføring i omics,Haust,Lågaregradsemne,10.0,Mappevurdering 
BINF301,Genom-skala algoritmar,Vår,Masteremne,10.0,Skriftleg skuleeksamen 
BINF305,Systembiologi,Haust,Masteremne,10.0,Mappevurdering 
BINF389,Utvalde emne i bioinformatikk,"Haust, Vår",Masteremne,10.0,Munnleg eksamen 
BINFPHD901,Genom-skala algoritmar,Vår,Ph.d.-kurs,10.0,Skriftleg skuleeksamen 
BINFPHD905,Systembiologi,Haust,Ph.d.-kurs,10.0,Skriftleg skuleeksamen 
DIGI111,Algoritmar og programmering,"Haust, Vår",Lågaregradsemne,2.5,Skriftlig eksamen heimefrå 
DIGI112,IKT-sikkerheit,"Haust, Vår",Lågaregradsemne,2.5,Skriftleg eksamen heimefrå 
DIGI118,Introduksjon til datavisualisering,"Haust, Vår",Lågaregradsemne,2.5,Godkjente øvingar 
DIGI611,Algoritmar og programmering,Vår,Lågaregradsemne,2.5,
DIGI612,IKT-sikkerheit,"Haust, Vår",Lågaregradsemne,2.5,Godkjente øvingar 
DSC219,Praksis i data science,Uvisst,Lågaregradsemne,10.0,
DSC300,Data science prosjektstyring,Haust,Masteremne,10.0,
DSC316,Datafordjuping,Uvisst,Masteremne,20.0,
DSC399K,Masteroppgåve,"Haust, Vår",Masteremne,30.0,
INF100,Innføring i programmering,"Haust, Vår",Lågaregradsemne,10.0,Skriftleg skuleeksamen (Ny eksamen)
INF101,Objektorientert programmering,Vår,Lågaregradsemne,10.0,Skriftleg skuleeksamen 
INF102,"Algoritmar, datastrukturar og programmering",Haust,Lågaregradsemne,10.0,Mappevurdering 
INF112,Innføring i systemutvikling,Vår,Lågaregradsemne,10.0,Skriftleg eksamen 
INF113,Innføring i operativsystem,Haust,Lågaregradsemne,10.0,Mappevurdering 
INF115,Databasar og modellering,Vår,Lågaregradsemne,10.0,Skriftleg skuleeksamen 
INF122,Funksjonell programmering,Haust,Lågaregradsemne,10.0,Skriftleg skuleeksamen 
INF140,Introduksjon til datatryggleik,Haust,Lågaregradsemne,10.0,Skriftleg skuleeksamen 
INF142,Datanett,Vår,Lågaregradsemne,10.0,Skriftleg skuleeksamen 
INF143A,Anvendt kryptografi,Vår,Lågaregradsemne,10.0,Skriftleg skuleeksamen 
INF161,Innføring i data science,Haust,Lågaregradsemne,10.0,Mappevurdering 
INF170,Modellering og optimering,Haust,Lågaregradsemne,10.0,Skriftleg skuleeksamen 
INF207,Sosial nettverksteori,Haust,Lågaregradsemne,10.0,Skriftleg skuleeksamen 
INF210,Datamaskinteori,Haust,Masteremne,10.0,Munnleg eksamen 
INF214,Multiprogrammering,Haust,Lågaregradsemne,10.0,Mappevurdering 
INF219,Informatikkprosjekt I,"Haust, Vår",Lågaregradsemne,10.0,Skriftlig oppgave og muntlig presentasjon 
INF220,Programvarespesifikasjon,Haust,Masteremne,10.0,Munnleg eksamen 
INF221,Avansert funksjonell programmering,Vår,Masteremne,10.0,Oppgåve og rapport 
INF222,Programmeringsspråk,Vår,Masteremne,10.0,Skriftleg skuleeksamen 
INF223,Kategoriteori,Vår,Masteremne,10.0,Munnleg eksamen 
INF225,Innføring i programomsetjing,Haust,Masteremne,10.0,Munnleg eksamen 
INF226,Programvaresikkerhet,Haust,Lågaregradsemne,10.0,Mappevurdering 
INF227,Innføring i logikk,Vår,Masteremne,10.0,Skriftleg skuleeksamen 
INF234,Algoritmer,Haust,Masteremne,10.0,Skriftleg skuleeksamen 
INF235,Kompleksitetsteori,Vår,Masteremne,10.0,Munnleg eksamen 
INF236,Parallell programmering,Vår,Masteremne,10.0,Skriftleg skuleeksamen 
INF237,Algoritmeutvikling,Vår,Masteremne,10.0,Godkjend oppgåve 
INF240A,Grunnleggjande reiskap for kodeteori og kryptografi,Vår,Masteremne,10.0,Skriftleg skuleeksamen 
